                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.64472,                0.54124,                 1.1019,                0.89186,                0.89358,                0.92334,                0.73505,                0.77497,                0.55756,                 1.1718,               0.004918,               0.004918,               0.004918
                    156,                0.64437,                0.53952,                 1.0937,                0.90456,                0.87163,                0.92174,                0.73886,                0.76215,                0.54427,                 1.1649,               0.004885,               0.004885,               0.004885
                    157,                0.63967,                0.54447,                 1.1015,                0.89593,                0.88413,                0.91872,                0.73667,                0.76031,                0.56207,                 1.1626,               0.004852,               0.004852,               0.004852
                    158,                0.63689,                0.53065,                 1.0973,                0.91459,                0.86627,                0.92205,                0.74333,                0.75685,                0.55734,                 1.1591,               0.004819,               0.004819,               0.004819
                    159,                0.63509,                0.53161,                 1.0905,                0.91611,                0.86737,                  0.929,                0.74721,                0.75901,                0.53785,                 1.1625,               0.004786,               0.004786,               0.004786
                    160,                0.64751,                0.55191,                 1.1032,                0.90272,                0.88142,                0.92656,                 0.7409,                0.77114,                0.54868,                 1.1749,               0.004753,               0.004753,               0.004753
                    161,                0.63522,                0.53179,                 1.0901,                0.89528,                0.89002,                0.92909,                0.74658,                0.76063,                0.52872,                 1.1691,                0.00472,                0.00472,                0.00472
                    162,                0.62909,                0.53163,                 1.0909,                0.88269,                0.89831,                0.92689,                0.74333,                0.76424,                0.53535,                 1.1775,               0.004687,               0.004687,               0.004687
                    163,                0.63161,                0.54049,                 1.0968,                0.88946,                0.89501,                0.93183,                0.74803,                0.76216,                0.52577,                 1.1767,               0.004654,               0.004654,               0.004654
                    164,                0.63516,                0.52938,                  1.092,                0.90738,                 0.8855,                0.92778,                0.74662,                0.76514,                0.53079,                 1.1798,               0.004621,               0.004621,               0.004621
                    165,                 0.6421,                0.53539,                 1.1006,                0.90708,                0.88518,                0.92844,                0.74811,                 0.7564,                0.53243,                  1.173,               0.004588,               0.004588,               0.004588
                    166,                0.62944,                0.53027,                 1.0945,                0.91358,                0.87648,                0.92251,                0.74362,                0.76283,                0.55028,                 1.1785,               0.004555,               0.004555,               0.004555
                    167,                0.63035,                0.52481,                 1.0921,                0.89129,                0.88325,                 0.9222,                0.74061,                0.75944,                0.54741,                 1.1652,               0.004522,               0.004522,               0.004522
                    168,                0.63128,                0.52626,                 1.0921,                 0.9054,                0.88688,                0.92957,                0.74998,                0.76175,                0.53512,                 1.1675,               0.004489,               0.004489,               0.004489
                    169,                0.63747,                0.52851,                 1.0859,                0.90679,                 0.8755,                0.92089,                0.74321,                0.76247,                0.54982,                 1.1634,               0.004456,               0.004456,               0.004456
                    170,                0.61933,                 0.5217,                 1.0882,                0.89037,                0.89409,                0.91931,                0.74119,                0.77359,                0.55055,                  1.175,               0.004423,               0.004423,               0.004423
                    171,                0.62708,                0.52731,                 1.0937,                0.90281,                0.88941,                0.91917,                0.74017,                0.76763,                0.55329,                 1.1734,                0.00439,                0.00439,                0.00439
                    172,                0.62349,                0.51922,                 1.0911,                0.88769,                0.90675,                 0.9211,                0.74032,                0.76439,                0.55188,                 1.1692,               0.004357,               0.004357,               0.004357
                    173,                0.62155,                0.50783,                  1.082,                0.89337,                0.88823,                0.92324,                0.74487,                0.76135,                  0.542,                 1.1662,               0.004324,               0.004324,               0.004324
                    174,                0.63019,                0.52266,                 1.0983,                0.89156,                0.89648,                0.92968,                0.74999,                0.76492,                0.53092,                 1.1761,               0.004291,               0.004291,               0.004291
                    175,                0.61846,                0.51722,                  1.091,                 0.9002,                0.87967,                0.92488,                0.74495,                0.75867,                0.53794,                 1.1728,               0.004258,               0.004258,               0.004258
                    176,                0.62014,                 0.5174,                 1.0918,                0.88886,                0.90044,                0.92558,                0.74283,                0.75829,                0.53818,                 1.1629,               0.004225,               0.004225,               0.004225
                    177,                0.61686,                0.50316,                 1.0907,                0.89122,                0.89723,                0.92494,                0.74077,                0.76492,                0.54654,                  1.169,               0.004192,               0.004192,               0.004192
                    178,                0.61376,                 0.5112,                 1.0777,                0.88552,                0.89606,                0.92359,                0.74234,                0.76373,                0.54954,                 1.1676,               0.004159,               0.004159,               0.004159
                    179,                0.61878,                0.51197,                 1.0813,                0.89051,                0.89347,                0.92644,                0.74801,                0.75675,                0.53422,                  1.156,               0.004126,               0.004126,               0.004126
                    180,                0.61534,                0.50694,                 1.0822,                0.89666,                0.88998,                0.92699,                0.74924,                0.74833,                0.52701,                 1.1476,               0.004093,               0.004093,               0.004093
                    181,                0.61689,                 0.5035,                 1.0804,                0.88855,                0.89561,                0.93043,                0.75472,                0.75076,                 0.5285,                 1.1557,                0.00406,                0.00406,                0.00406
                    182,                0.61645,                0.51138,                   1.08,                  0.881,                0.90718,                0.93064,                0.75329,                0.76111,                 0.5367,                 1.1716,               0.004027,               0.004027,               0.004027
                    183,                0.60576,                0.50139,                 1.0789,                0.91434,                0.87251,                0.92725,                0.75288,                0.76084,                0.53388,                 1.1709,               0.003994,               0.003994,               0.003994
                    184,                0.60523,                0.50084,                 1.0747,                0.92103,                0.87643,                0.92915,                0.75443,                0.75481,                0.53566,                  1.164,               0.003961,               0.003961,               0.003961
                    185,                0.61498,                0.52155,                 1.0831,                0.93085,                0.86933,                 0.9295,                0.75463,                0.75574,                0.52509,                 1.1656,               0.003928,               0.003928,               0.003928
                    186,                0.60105,                0.49289,                  1.077,                0.92474,                0.87034,                0.93188,                0.75512,                0.74955,                0.52992,                 1.1581,               0.003895,               0.003895,               0.003895
                    187,                0.61493,                0.49453,                 1.0776,                0.90701,                 0.8868,                0.93198,                0.75616,                0.74818,                 0.5189,                 1.1582,               0.003862,               0.003862,               0.003862
                    188,                0.60406,                0.51605,                 1.0744,                0.92023,                0.88149,                0.93182,                0.75628,                0.75062,                0.52342,                 1.1591,               0.003829,               0.003829,               0.003829
                    189,                0.60257,                0.49826,                 1.0752,                0.90638,                 0.8856,                0.92977,                0.75641,                0.75075,                0.52524,                 1.1607,               0.003796,               0.003796,               0.003796
                    190,                0.60406,                0.49952,                 1.0763,                0.89869,                0.89313,                0.92997,                 0.7555,                0.74761,                0.53158,                 1.1607,               0.003763,               0.003763,               0.003763
                    191,                0.60801,                0.49302,                 1.0754,                0.90466,                0.88376,                0.92756,                0.75272,                0.75556,                0.53079,                 1.1735,                0.00373,                0.00373,                0.00373
                    192,                 0.6063,                0.49964,                 1.0765,                 0.9067,                0.88022,                0.93084,                0.75476,                0.75872,                0.51733,                 1.1791,               0.003697,               0.003697,               0.003697
                    193,                0.60949,                 0.4975,                 1.0752,                0.91628,                0.87865,                0.93142,                0.75529,                0.75807,                 0.5292,                 1.1785,               0.003664,               0.003664,               0.003664
                    194,                0.59658,                0.49062,                  1.071,                0.89192,                0.89745,                 0.9331,                 0.7577,                0.74917,                0.53246,                 1.1651,               0.003631,               0.003631,               0.003631
                    195,                0.59747,                0.50145,                 1.0772,                0.90506,                0.88286,                0.93373,                0.75831,                0.75168,                0.52772,                 1.1667,               0.003598,               0.003598,               0.003598
                    196,                0.60187,                0.48229,                 1.0765,                0.88828,                0.89661,                0.93056,                0.75143,                0.75412,                0.54382,                 1.1688,               0.003565,               0.003565,               0.003565
                    197,                 0.5924,                0.49648,                 1.0673,                0.89679,                0.89481,                0.93454,                0.75426,                0.75388,                0.53295,                 1.1685,               0.003532,               0.003532,               0.003532
                    198,                0.59573,                0.49549,                 1.0678,                0.91112,                0.88427,                 0.9339,                0.75452,                0.75824,                0.52947,                 1.1691,               0.003499,               0.003499,               0.003499
                    199,                0.59879,                  0.484,                 1.0671,                0.91302,                0.87719,                0.93355,                0.75462,                0.75642,                0.52523,                 1.1672,               0.003466,               0.003466,               0.003466
                    200,                0.59828,                 0.4944,                 1.0762,                0.88911,                0.89329,                0.92971,                0.75259,                0.75459,                0.53617,                 1.1685,               0.003433,               0.003433,               0.003433
                    201,                0.58872,                0.48132,                 1.0738,                 0.9022,                0.88939,                0.93203,                0.75622,                0.75101,                0.53902,                 1.1631,                 0.0034,                 0.0034,                 0.0034
                    202,                0.59955,                0.48707,                 1.0686,                0.91358,                0.88324,                0.93163,                0.75501,                0.75457,                0.53036,                 1.1616,               0.003367,               0.003367,               0.003367
                    203,                 0.5897,                 0.4737,                 1.0661,                 0.9024,                0.88852,                0.93112,                0.75412,                0.75959,                0.53009,                 1.1691,               0.003334,               0.003334,               0.003334
                    204,                0.57527,                0.48631,                 1.0578,                 0.9198,                0.87536,                0.93154,                0.75468,                0.76322,                0.51851,                  1.175,               0.003301,               0.003301,               0.003301
                    205,                0.58958,                0.47695,                 1.0689,                 0.9115,                0.87974,                0.93189,                0.75403,                0.75883,                0.51901,                 1.1704,               0.003268,               0.003268,               0.003268
                    206,                0.58663,                0.47877,                 1.0648,                0.91664,                0.87854,                0.93185,                0.75265,                0.75622,                0.52159,                 1.1667,               0.003235,               0.003235,               0.003235
                    207,                0.56961,                0.46978,                  1.059,                0.91252,                0.87347,                0.93018,                0.75432,                0.74693,                0.51868,                  1.161,               0.003202,               0.003202,               0.003202
                    208,                0.58741,                0.47996,                 1.0628,                0.87334,                 0.9111,                 0.9308,                0.75297,                0.74783,                0.51893,                 1.1655,               0.003169,               0.003169,               0.003169
                    209,                0.59114,                0.47653,                 1.0636,                0.89197,                0.89575,                0.93011,                0.75144,                0.74432,                0.52854,                 1.1629,               0.003136,               0.003136,               0.003136
                    210,                0.58188,                0.47671,                 1.0648,                 0.8991,                 0.8883,                0.93056,                0.75669,                0.74777,                 0.5257,                 1.1678,               0.003103,               0.003103,               0.003103
                    211,                0.58203,                0.46841,                 1.0659,                0.88783,                0.89869,                0.92892,                0.75441,                0.75169,                0.53613,                 1.1661,                0.00307,                0.00307,                0.00307
                    212,                0.57106,                 0.4666,                 1.0599,                0.90326,                0.89008,                0.92958,                 0.7544,                0.75165,                0.53805,                 1.1638,               0.003037,               0.003037,               0.003037
                    213,                0.58754,                0.47556,                 1.0662,                0.90941,                0.88616,                0.92947,                0.75541,                0.74654,                 0.5371,                 1.1635,               0.003004,               0.003004,               0.003004
                    214,                0.57419,                0.47429,                 1.0603,                 0.8965,                0.89778,                0.92976,                0.75647,                0.74555,                 0.5351,                 1.1567,               0.002971,               0.002971,               0.002971
                    215,                0.57301,                0.46935,                 1.0605,                0.90556,                0.89105,                0.93036,                0.75522,                0.74668,                0.53498,                 1.1592,               0.002938,               0.002938,               0.002938
                    216,                0.58248,                0.47911,                 1.0682,                0.90758,                0.89608,                0.92966,                0.75673,                0.74267,                0.53683,                  1.151,               0.002905,               0.002905,               0.002905
                    217,                0.58258,                0.47775,                 1.0655,                0.90379,                 0.8958,                0.93079,                0.75626,                0.74047,                0.53089,                 1.1472,               0.002872,               0.002872,               0.002872
                    218,                0.56697,                 0.4657,                 1.0595,                0.91094,                0.89031,                 0.9318,                0.75574,                0.73886,                0.52786,                 1.1461,               0.002839,               0.002839,               0.002839
                    219,                0.57621,                0.47069,                 1.0616,                0.90933,                0.88733,                0.93153,                0.75642,                0.73734,                0.52792,                 1.1476,               0.002806,               0.002806,               0.002806
                    220,                0.57335,                0.47328,                 1.0604,                0.89468,                0.89983,                0.92925,                0.75441,                0.74007,                0.53423,                   1.15,               0.002773,               0.002773,               0.002773
                    221,                0.56975,                0.46819,                 1.0556,                0.91274,                0.88311,                 0.9285,                0.75513,                0.73942,                0.53585,                 1.1487,                0.00274,                0.00274,                0.00274
                    222,                 0.5641,                0.45457,                 1.0489,                0.88758,                0.89988,                0.92856,                  0.756,                0.73573,                0.53229,                 1.1457,               0.002707,               0.002707,               0.002707
                    223,                0.57024,                0.46533,                 1.0578,                0.89975,                0.89694,                 0.9288,                 0.7577,                 0.7354,                0.53476,                 1.1445,               0.002674,               0.002674,               0.002674
                    224,                0.57954,                0.46137,                 1.0523,                0.89958,                  0.892,                0.92881,                0.75812,                0.73222,                0.53333,                 1.1451,               0.002641,               0.002641,               0.002641
                    225,                0.56124,                 0.4626,                 1.0519,                0.90577,                0.89151,                0.92955,                0.75933,                0.73099,                0.53716,                 1.1416,               0.002608,               0.002608,               0.002608
                    226,                0.56248,                0.45797,                 1.0534,                0.91496,                0.88116,                0.92916,                0.75846,                0.73054,                0.54075,                 1.1412,               0.002575,               0.002575,               0.002575
                    227,                0.55922,                 0.4567,                 1.0514,                0.91324,                0.88457,                0.92967,                0.75753,                 0.7309,                0.54031,                 1.1424,               0.002542,               0.002542,               0.002542
                    228,                 0.5684,                0.46554,                 1.0547,                0.92612,                0.87721,                0.92978,                0.75871,                 0.7277,                0.54122,                 1.1416,               0.002509,               0.002509,               0.002509
                    229,                0.55564,                0.45092,                 1.0526,                  0.919,                0.87621,                0.92833,                0.75712,                0.72949,                0.54325,                 1.1424,               0.002476,               0.002476,               0.002476
                    230,                0.55056,                0.44151,                 1.0434,                0.91609,                0.87789,                0.92921,                0.75693,                0.73348,                 0.5431,                 1.1485,               0.002443,               0.002443,               0.002443
                    231,                0.55497,                0.44283,                 1.0501,                0.92025,                0.87595,                0.92897,                0.75743,                0.73473,                0.53996,                 1.1501,                0.00241,                0.00241,                0.00241
                    232,                0.57257,                0.46399,                 1.0546,                0.91313,                0.88046,                0.92748,                0.75814,                0.73786,                0.54132,                 1.1528,               0.002377,               0.002377,               0.002377
                    233,                0.55351,                0.45813,                 1.0487,                0.91863,                0.88738,                0.92746,                0.75825,                0.73886,                0.54091,                 1.1558,               0.002344,               0.002344,               0.002344
                    234,                0.55749,                0.45182,                  1.051,                0.90594,                0.89358,                0.92776,                0.75705,                0.73752,                0.54019,                 1.1555,               0.002311,               0.002311,               0.002311
                    235,                0.55151,                0.45008,                 1.0471,                 0.9239,                0.88042,                0.92796,                0.75639,                0.73583,                0.53651,                 1.1541,               0.002278,               0.002278,               0.002278
                    236,                0.54777,                0.43985,                 1.0412,                0.90456,                0.89668,                0.92899,                0.75631,                0.73359,                0.53162,                 1.1522,               0.002245,               0.002245,               0.002245
                    237,                0.54812,                0.45478,                 1.0463,                0.90078,                0.89927,                0.92845,                 0.7548,                0.73332,                0.53712,                 1.1529,               0.002212,               0.002212,               0.002212
                    238,                0.55128,                0.44025,                 1.0472,                0.90099,                0.89627,                0.92971,                0.75659,                0.73629,                0.53777,                 1.1548,               0.002179,               0.002179,               0.002179
                    239,                0.54514,                0.43532,                 1.0487,                0.90646,                0.89548,                0.93015,                0.75655,                0.73655,                0.53833,                 1.1538,               0.002146,               0.002146,               0.002146
                    240,                0.54874,                0.44848,                 1.0488,                0.91311,                0.88797,                0.93017,                0.75733,                0.73775,                0.53688,                 1.1564,               0.002113,               0.002113,               0.002113
                    241,                0.53664,                0.43299,                 1.0405,                0.92115,                 0.8785,                0.93067,                 0.7565,                0.73792,                0.53853,                 1.1581,                0.00208,                0.00208,                0.00208
                    242,                0.55199,                0.45009,                 1.0491,                0.91894,                0.88111,                0.93112,                0.75692,                0.73752,                0.53675,                 1.1575,               0.002047,               0.002047,               0.002047
                    243,                0.54783,                0.43899,                 1.0452,                0.90642,                0.89195,                0.93165,                0.75717,                0.73697,                0.53971,                  1.158,               0.002014,               0.002014,               0.002014
                    244,                 0.5427,                 0.4342,                 1.0389,                0.90754,                0.89231,                0.93175,                 0.7576,                0.73801,                0.54073,                 1.1608,               0.001981,               0.001981,               0.001981
                    245,                0.54226,                0.43562,                 1.0386,                0.91793,                0.88061,                0.93227,                0.75915,                0.73871,                0.54504,                 1.1609,               0.001948,               0.001948,               0.001948
                    246,                0.54444,                0.43944,                 1.0455,                0.89783,                 0.9001,                0.93324,                0.76154,                 0.7393,                0.54281,                 1.1605,               0.001915,               0.001915,               0.001915
                    247,                0.54421,                0.44396,                  1.042,                0.90084,                0.89858,                0.93263,                0.75999,                0.74097,                0.54301,                 1.1619,               0.001882,               0.001882,               0.001882
                    248,                0.54664,                0.44236,                 1.0436,                0.90232,                0.89714,                0.93263,                0.75968,                0.74017,                 0.5422,                   1.16,               0.001849,               0.001849,               0.001849
                    249,                0.54364,                0.43377,                 1.0391,                0.92826,                0.87178,                0.93186,                0.75894,                0.73649,                0.53561,                 1.1561,               0.001816,               0.001816,               0.001816
                    250,                0.53545,                0.43525,                 1.0421,                0.91544,                0.88096,                0.93109,                0.75976,                0.73496,                0.53636,                 1.1566,               0.001783,               0.001783,               0.001783
                    251,                0.53397,                0.42818,                   1.04,                0.91568,                0.88329,                0.93077,                0.75965,                0.73283,                0.54046,                 1.1551,                0.00175,                0.00175,                0.00175
                    252,                0.52997,                0.42129,                 1.0348,                0.89578,                0.89751,                0.92975,                0.75889,                0.73103,                0.54327,                  1.153,               0.001717,               0.001717,               0.001717
                    253,                0.54226,                0.43296,                 1.0371,                0.90305,                0.88951,                 0.9293,                0.76021,                0.72794,                 0.5418,                 1.1497,               0.001684,               0.001684,               0.001684
                    254,                0.53525,                0.42687,                 1.0417,                0.91436,                 0.8773,                 0.9289,                 0.7595,                0.72822,                0.54297,                 1.1493,               0.001651,               0.001651,               0.001651
                    255,                0.54459,                 0.4357,                 1.0356,                0.90836,                0.88264,                0.92814,                0.75826,                 0.7313,                0.54341,                 1.1514,               0.001618,               0.001618,               0.001618
                    256,                0.54029,                 0.4298,                 1.0352,                0.91594,                0.87844,                0.92725,                0.75687,                0.73169,                0.54498,                 1.1519,               0.001585,               0.001585,               0.001585
                    257,                0.53709,                0.43454,                 1.0399,                0.89944,                 0.8954,                0.92648,                 0.7587,                0.73195,                0.54623,                 1.1532,               0.001552,               0.001552,               0.001552
                    258,                0.51955,                0.42449,                 1.0333,                0.90086,                0.89439,                0.92615,                0.75796,                0.73287,                0.54609,                  1.153,               0.001519,               0.001519,               0.001519
                    259,                0.53739,                0.42686,                 1.0379,                 0.9024,                0.89611,                 0.9274,                0.75684,                0.73333,                0.54438,                 1.1537,               0.001486,               0.001486,               0.001486
                    260,                0.51728,                0.41693,                   1.03,                 0.9099,                0.88896,                0.92836,                0.75848,                0.73528,                 0.5405,                 1.1557,               0.001453,               0.001453,               0.001453
                    261,                0.53349,                0.42141,                 1.0348,                0.91232,                0.88851,                0.92867,                0.76006,                0.73675,                 0.5433,                 1.1577,                0.00142,                0.00142,                0.00142
                    262,                0.52961,                 0.4233,                 1.0345,                 0.9142,                0.89005,                0.92824,                0.75965,                0.73747,                0.54246,                 1.1594,               0.001387,               0.001387,               0.001387
                    263,                0.52686,                0.41237,                 1.0316,                0.91362,                  0.891,                0.92774,                0.76015,                0.73805,                0.53978,                 1.1612,               0.001354,               0.001354,               0.001354
                    264,                0.52011,                0.41967,                 1.0316,                0.91342,                 0.8928,                0.92802,                0.75968,                0.73919,                0.53912,                 1.1624,               0.001321,               0.001321,               0.001321
                    265,                0.52791,                0.42239,                 1.0318,                0.91363,                0.89418,                0.92777,                 0.7589,                0.73787,                0.54041,                  1.161,               0.001288,               0.001288,               0.001288
                    266,                0.52608,                 0.4283,                 1.0333,                0.90953,                0.89373,                0.92865,                0.76083,                0.73814,                0.53829,                 1.1619,               0.001255,               0.001255,               0.001255
                    267,                0.52074,                0.41846,                 1.0296,                0.90726,                0.89551,                0.92817,                 0.7607,                0.73696,                0.53644,                 1.1612,               0.001222,               0.001222,               0.001222
                    268,                0.51777,                 0.4162,                 1.0256,                 0.9094,                0.89442,                0.92897,                0.76124,                0.73671,                0.53531,                 1.1611,               0.001189,               0.001189,               0.001189
                    269,                 0.5189,                0.41599,                 1.0306,                0.90422,                0.89828,                 0.9291,                0.76084,                0.73713,                0.53803,                 1.1608,               0.001156,               0.001156,               0.001156
                    270,                0.51393,                0.41839,                 1.0263,                0.90351,                0.89909,                0.92959,                0.76106,                0.73608,                0.53901,                 1.1597,               0.001123,               0.001123,               0.001123
                    271,                0.51539,                0.40989,                  1.031,                0.91624,                0.88598,                0.92972,                0.76075,                0.73522,                0.54096,                 1.1576,                0.00109,                0.00109,                0.00109
                    272,                0.51355,                0.41282,                 1.0307,                 0.9159,                0.88672,                0.92944,                0.76102,                0.73676,                0.54159,                 1.1603,               0.001057,               0.001057,               0.001057
                    273,                0.51023,                0.40738,                 1.0294,                0.91246,                0.89111,                0.92918,                0.76077,                0.73658,                0.54215,                 1.1601,               0.001024,               0.001024,               0.001024
                    274,                0.51056,                0.41682,                 1.0211,                0.91322,                0.88844,                0.92929,                0.76113,                0.73601,                0.54364,                 1.1592,               0.000991,               0.000991,               0.000991
                    275,                0.51373,                0.41613,                 1.0314,                0.91565,                0.88671,                0.93041,                0.76203,                0.73601,                0.54389,                 1.1599,               0.000958,               0.000958,               0.000958
                    276,                0.51416,                0.41761,                 1.0249,                0.90753,                0.89399,                0.93077,                0.76243,                0.73681,                0.54378,                 1.1615,               0.000925,               0.000925,               0.000925
                    277,                 0.5282,                0.42094,                 1.0364,                0.91533,                0.88702,                0.93076,                0.76289,                0.73694,                0.54289,                  1.162,               0.000892,               0.000892,               0.000892
                    278,                0.50853,                0.40941,                 1.0214,                0.90593,                0.89837,                0.92973,                0.76343,                0.73728,                0.54401,                 1.1625,               0.000859,               0.000859,               0.000859
                    279,                0.50538,                0.40854,                 1.0226,                0.90824,                0.89598,                 0.9295,                0.76337,                0.73654,                0.54416,                 1.1624,               0.000826,               0.000826,               0.000826
                    280,                0.51286,                0.40048,                 1.0315,                0.90685,                0.89816,                0.92945,                0.76392,                0.73623,                0.54422,                 1.1632,               0.000793,               0.000793,               0.000793
                    281,                0.50191,                0.40847,                 1.0195,                0.90709,                0.89724,                0.93006,                0.76298,                0.73781,                0.54405,                 1.1663,                0.00076,                0.00076,                0.00076
                    282,                0.50321,                0.39935,                 1.0219,                0.90848,                 0.8968,                0.92996,                0.76354,                0.73728,                0.54524,                 1.1659,               0.000727,               0.000727,               0.000727
                    283,                 0.5105,                0.40478,                 1.0294,                0.90797,                0.89782,                0.93021,                0.76425,                 0.7388,                 0.5452,                 1.1677,               0.000694,               0.000694,               0.000694
                    284,                0.49625,                0.39984,                 1.0207,                0.90831,                0.89846,                0.92987,                0.76436,                0.73833,                  0.545,                 1.1672,               0.000661,               0.000661,               0.000661
                    285,                0.49663,                0.39641,                 1.0216,                0.90761,                 0.8975,                0.93035,                0.76499,                0.73799,                 0.5453,                 1.1677,               0.000628,               0.000628,               0.000628
                    286,                0.50475,                0.40395,                 1.0188,                0.90607,                0.89758,                0.93053,                 0.7649,                0.73797,                0.54567,                 1.1678,               0.000595,               0.000595,               0.000595
                    287,                 0.4946,                 0.3972,                 1.0228,                0.90682,                0.89783,                0.93057,                0.76472,                0.73794,                0.54586,                 1.1676,               0.000562,               0.000562,               0.000562
                    288,                0.49318,                0.40275,                 1.0155,                0.90983,                0.89556,                0.93051,                0.76541,                0.73777,                  0.546,                 1.1675,               0.000529,               0.000529,               0.000529
                    289,                0.49852,                0.41214,                 1.0192,                0.90935,                  0.896,                0.93028,                0.76527,                0.73773,                0.54666,                 1.1673,               0.000496,               0.000496,               0.000496
                    290,                0.49979,                 0.4003,                 1.0217,                0.90648,                 0.8966,                0.92998,                0.76438,                 0.7369,                0.54666,                 1.1665,               0.000463,               0.000463,               0.000463
                    291,                0.50069,                0.39284,                 1.0187,                0.90642,                0.89898,                0.93021,                0.76455,                0.73714,                0.54604,                 1.1668,                0.00043,                0.00043,                0.00043
                    292,                0.50127,                0.40033,                 1.0208,                0.90579,                0.89857,                 0.9304,                0.76462,                0.73668,                0.54589,                 1.1664,               0.000397,               0.000397,               0.000397
                    293,                0.49991,                0.40642,                 1.0216,                0.90805,                0.89846,                0.93067,                0.76461,                0.73656,                0.54449,                 1.1662,               0.000364,               0.000364,               0.000364
                    294,                0.49828,                0.39673,                 1.0211,                0.91006,                0.89667,                0.93094,                  0.764,                0.73585,                0.54399,                 1.1657,               0.000331,               0.000331,               0.000331
                    295,                0.49998,                0.39408,                  1.023,                0.90836,                0.89748,                0.93098,                0.76446,                0.73523,                0.54375,                 1.1652,               0.000298,               0.000298,               0.000298
                    296,                0.49107,                0.39627,                 1.0185,                0.90927,                0.89743,                0.93111,                0.76441,                0.73486,                0.54342,                 1.1649,               0.000265,               0.000265,               0.000265
                    297,                0.49077,                 0.3959,                 1.0158,                0.90801,                0.89747,                0.93106,                0.76452,                0.73458,                0.54351,                 1.1646,               0.000232,               0.000232,               0.000232
                    298,                0.49695,                0.38694,                 1.0212,                0.90889,                0.89658,                0.93116,                0.76492,                 0.7344,                0.54382,                 1.1646,               0.000199,               0.000199,               0.000199
                    299,                 0.4956,                0.39574,                 1.0155,                0.90869,                0.89657,                0.93125,                0.76508,                0.73425,                0.54387,                 1.1647,               0.000166,               0.000166,               0.000166
