                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8762,                0.88658,                 1.2583,                0.84967,                0.81755,                0.87806,                0.62748,                0.97003,                0.87625,                 1.3609,               0.008878,               0.008878,               0.008878
                     36,                0.88262,                0.89691,                  1.269,                0.85831,                 0.8127,                0.87748,                0.64318,                0.96717,                0.82997,                 1.3599,               0.008845,               0.008845,               0.008845
                     37,                 0.8767,                0.88274,                 1.2658,                0.85716,                0.83707,                0.88936,                 0.6493,                0.95565,                0.80874,                 1.3461,               0.008812,               0.008812,               0.008812
                     38,                0.87304,                0.90282,                 1.2554,                 0.8753,                0.84241,                0.89059,                0.67318,                  0.922,                0.78035,                 1.3114,               0.008779,               0.008779,               0.008779
                     39,                0.85388,                0.85552,                 1.2465,                0.86191,                0.82383,                0.88672,                0.65277,                0.94301,                0.77744,                 1.3232,               0.008746,               0.008746,               0.008746
                     40,                0.84844,                0.84191,                 1.2475,                0.84777,                0.83107,                0.88337,                0.65414,                 0.9427,                0.78258,                  1.332,               0.008713,               0.008713,               0.008713
                     41,                0.86668,                0.85185,                 1.2532,                0.83636,                0.85196,                0.86681,                0.63483,                0.92564,                0.79222,                 1.2989,                0.00868,                0.00868,                0.00868
                     42,                 0.8515,                0.85275,                  1.249,                0.85148,                0.82641,                0.87645,                0.65146,                0.92224,                0.81302,                  1.293,               0.008647,               0.008647,               0.008647
                     43,                 0.8655,                0.85005,                 1.2561,                0.86268,                0.85866,                0.90351,                0.66996,                0.93699,                0.75354,                 1.3228,               0.008614,               0.008614,               0.008614
                     44,                0.83997,                0.81845,                 1.2407,                0.84618,                0.85447,                0.89047,                0.66969,                 0.9262,                0.75979,                 1.3052,               0.008581,               0.008581,               0.008581
                     45,                0.86076,                0.82464,                 1.2411,                0.88356,                 0.8375,                0.89389,                0.67311,                0.91852,                0.74621,                 1.3104,               0.008548,               0.008548,               0.008548
                     46,                0.84117,                0.83446,                 1.2437,                0.85759,                0.86165,                0.89471,                0.65788,                0.90184,                0.74838,                 1.2865,               0.008515,               0.008515,               0.008515
                     47,                0.84285,                0.81582,                 1.2328,                0.84412,                0.84153,                0.88483,                0.66424,                0.92409,                 0.7792,                 1.3198,               0.008482,               0.008482,               0.008482
                     48,                0.84675,                0.81942,                 1.2422,                0.86534,                0.84908,                0.89592,                0.67586,                0.90348,                0.71562,                 1.3019,               0.008449,               0.008449,               0.008449
                     49,                0.83881,                 0.8269,                 1.2346,                0.86237,                0.85653,                0.89994,                0.67639,                0.92188,                  0.726,                 1.3098,               0.008416,               0.008416,               0.008416
                     50,                0.83809,                0.80653,                 1.2349,                0.85763,                0.82661,                0.88815,                0.66218,                0.89743,                0.75106,                 1.2817,               0.008383,               0.008383,               0.008383
                     51,                0.83897,                0.80896,                 1.2332,                0.86161,                0.86305,                0.89955,                0.67363,                0.89201,                0.71717,                  1.284,                0.00835,                0.00835,                0.00835
                     52,                0.83147,                0.80324,                 1.2389,                0.88172,                 0.8592,                0.90718,                0.68642,                0.88457,                0.69281,                 1.2767,               0.008317,               0.008317,               0.008317
                     53,                0.81753,                0.78748,                 1.2211,                0.88576,                0.81052,                0.89501,                0.66955,                0.90489,                0.72352,                 1.2995,               0.008284,               0.008284,               0.008284
                     54,                0.83344,                0.79764,                 1.2262,                0.86296,                0.83408,                0.87886,                0.64727,                0.92905,                 0.7986,                 1.3023,               0.008251,               0.008251,               0.008251
                     55,                0.80869,                0.78564,                 1.2128,                0.89722,                0.83851,                0.91092,                0.69563,                0.88195,                0.68099,                 1.2673,               0.008218,               0.008218,               0.008218
